trial,fast_score,full_net,full_trades,full_pf,full_dd,oos_net,oos_trades,oos_pf,oos_dd,rsi_period,rsi_overbought,rsi_oversold,rsi_target_buy,rsi_target_sell,bars_to_wait,use_trailing,trail_distance_pts,trail_activation_pts,lot_size
652,-inf,0.0,4431,0.0,0.0,0.0,1619,0.0,0.0,12,64.8,49.1,83.3,57.5,3,False,150,20,0.1
653,-inf,0.0,2468,0.0,0.0,0.0,901,0.0,0.0,12,75.6,54.3,80.7,47.6,12,False,40,35,0.1
654,-inf,0.0,6585,0.0,0.0,0.0,2328,0.0,0.0,12,13.2,55.9,88.1,8.2,1,False,55,90,0.1
655,-inf,0.0,8085,0.0,0.0,0.0,2874,0.0,0.0,10,65.8,47.5,82.8,37.3,1,False,55,55,0.1
656,-inf,0.0,1873,0.0,0.0,0.0,641,0.0,0.0,14,17.8,66.8,92.5,15.1,8,False,150,70,0.1
657,-inf,0.0,1373,0.0,0.0,0.0,489,0.0,0.0,21,14.3,68.9,90.2,9.3,2,True,150,41,0.1
658,-inf,0.0,2932,0.0,0.0,0.0,1012,0.0,0.0,10,13.9,71.1,86.4,8.9,2,False,55,35,0.1
659,-inf,0.0,4170,0.0,0.0,0.0,1493,0.0,0.0,16,8.5,54.2,91.9,3.5,2,False,71,35,0.1
660,-inf,0.0,1767,0.0,0.0,0.0,588,0.0,0.0,10,76.5,40.3,76.5,18.4,4,False,150,55,0.1
661,-inf,0.0,2011,0.0,0.0,0.0,702,0.0,0.0,18,81.9,42.2,72.7,51.3,4,False,55,41,0.1
662,-inf,0.0,597,0.0,0.0,0.0,215,0.0,0.0,18,15.1,73.0,95.5,10.1,12,False,90,41,0.1
663,-inf,0.0,599,0.0,0.0,0.0,222,0.0,0.0,16,11.3,75.2,90.7,6.3,6,False,55,70,0.1
664,-inf,0.0,2221,0.0,0.0,0.0,819,0.0,0.0,14,6.1,69.8,97.6,1.1,8,True,90,90,0.1
665,-inf,0.0,1694,0.0,0.0,0.0,608,0.0,0.0,12,7.5,73.3,97.2,2.5,2,False,150,55,0.1
666,-inf,0.0,4124,0.0,0.0,0.0,1417,0.0,0.0,14,75.2,38.4,80.8,32.3,1,False,55,20,0.1
667,-inf,0.0,8525,0.0,0.0,0.0,3037,0.0,0.0,10,67.7,53.8,78.1,42.0,1,False,150,90,0.1
668,-inf,0.0,4907,0.0,0.0,0.0,1839,0.0,0.0,16,20.9,52.7,95.1,15.9,8,True,120,90,0.1
669,-inf,0.0,2394,0.0,0.0,0.0,844,0.0,0.0,16,6.2,65.6,89.2,1.2,2,False,90,35,0.1
670,-inf,0.0,2023,0.0,0.0,0.0,682,0.0,0.0,10,15.6,73.6,90.5,10.6,6,False,40,90,0.1
671,-inf,0.0,3393,0.0,0.0,0.0,1200,0.0,0.0,12,19.7,57.3,91.2,14.7,6,False,120,35,0.1
