net,trades,pf,fast_ema,slow_ema,trend_leg_bars,min_ema_gap_pips,cross_cooldown,pullback_cooldown,use_pullback,pullback_touch,pullback_adx_min,pullback_min_gap_pips,max_pullbacks_per_leg,atr_period,atr_sl_mult,atr_tp_mult,max_bars_in_trade,htf_ema_period,use_htf_filter,use_adx_filter,adx_period,adx_min,session_start,session_end,max_spread_pips,lot_size,initial_balance
-258.3199999999888,132,0.7675054901537244,10,36,48,1.5,2,3,False,0,0.0,0.0,1,20,2.71,6.36,64,100,True,False,14,18.0,8,22,12,0.05,10000.0
-269.8600000000006,151,0.7808581822906516,10,46,48,1.5,8,3,False,0,0.0,0.0,1,20,2.71,6.36,64,200,True,False,14,18.0,8,22,12,0.05,10000.0
-389.85000000000036,227,0.7649509523149182,7,46,48,1.5,5,3,False,0,0.0,0.0,1,20,2.71,6.36,64,200,True,False,14,18.0,8,22,12,0.05,10000.0
-377.3600000000006,214,0.7693539514699591,10,46,56,1.5,8,6,True,1,22.0,2.0,1,20,2.71,6.36,64,200,True,False,14,18.0,8,22,12,0.05,10000.0
-792.2199999999957,343,0.7002550151722676,8,30,48,1.5,2,2,True,0,0.0,0.0,1,20,2.71,6.36,64,200,True,False,14,18.0,8,22,12,0.05,10000.0
-548.2499999999891,274,0.7448089034113918,9,34,48,1.5,3,2,True,0,0.0,0.0,1,20,2.71,6.36,64,100,True,False,14,18.0,8,22,12,0.05,10000.0
-258.3199999999888,132,0.7675054901537244,10,36,48,1.5,2,3,False,0,0.0,0.0,1,20,2.71,6.36,64,100,True,False,14,18.0,8,22,12,0.05,10000.0
-98.97999999999956,188,0.9275142620705816,11,40,48,1.5,4,3,True,1,20.0,0.0,1,20,2.71,6.36,64,200,True,False,14,18.0,8,22,12,0.05,10000.0
