trial,net,trades,pf,fast_ema,slow_ema,trend_leg_bars,min_ema_gap_pips,cross_cooldown,pullback_cooldown,use_pullback,pullback_touch,atr_period,atr_sl_mult,atr_tp_mult,max_bars_in_trade,htf_ema_period,use_htf_filter,use_adx_filter,adx_period,adx_min,session_start,session_end,max_spread_pips,lot_size,initial_balance
461,-3697.699999999988,728,0.612187406919524,11,52,32,0.7,7,5,True,0,20,3.01,5.01,48,100,True,False,14,17.0,8,21,6.0,0.1,10000.0
462,-1199.1500000000015,244,0.6690109938640825,8,46,40,1.4,7,3,False,0,14,2.53,4.64,48,200,False,False,14,19.6,7,21,8.0,0.1,10000.0
463,-3126.1899999999832,745,0.6946722272141267,9,44,48,2.3,7,2,True,0,14,3.19,5.51,64,100,True,False,14,22.4,7,21,6.0,0.1,10000.0
464,-551.8600000000079,105,0.6328056902941626,11,40,48,1.1,7,3,False,0,20,2.14,5.14,80,200,True,False,14,19.2,8,21,8.0,0.1,10000.0
465,-3050.799999999983,796,0.7342420742150001,9,52,40,0.6,8,4,True,0,14,2.49,6.8,96,100,False,True,14,22.3,7,22,6.0,0.1,10000.0
466,-1005.6200000000008,185,0.6282970607368856,12,48,72,1.9,7,4,True,1,20,3.17,6.5,48,200,True,True,14,23.3,8,22,6.0,0.1,10000.0
467,-3745.4300000000167,684,0.591525425577279,12,38,40,0.5,6,4,True,1,20,2.91,6.36,48,100,True,False,14,18.4,7,22,6.0,0.1,10000.0
468,-3858.0199999999995,804,0.683795030083575,8,44,72,1.7,9,4,True,0,20,2.77,6.78,96,200,True,False,14,22.8,8,22,6.0,0.1,10000.0
469,60.57000000000153,36,1.1025480402945909,9,38,72,2.5,7,5,False,0,14,2.53,4.52,96,100,True,False,14,21.1,7,21,6.0,0.1,10000.0
470,-169.98999999998887,114,0.9015401189697015,8,42,64,1.6,7,3,False,0,20,2.87,5.43,64,100,True,False,14,20.8,8,22,8.0,0.1,10000.0
471,-4072.4300000000267,925,0.6864141252748014,9,46,56,0.7,8,5,True,0,20,2.53,6.02,96,100,True,False,14,22.1,8,21,8.0,0.1,10000.0
472,-2846.020000000007,728,0.7092702899002271,12,42,64,2.0,8,5,True,0,20,2.34,6.19,96,100,True,False,14,21.7,7,21,6.0,0.1,10000.0
