trial,score,net,trades,pf,daily_ema_period,use_daily_bias,htf_zone_bars,min_break_body_ratio,use_double_trap,trap_lookback,ny_chaos_start,ny_chaos_end,momentum_start,momentum_end,ltf_fast_ema,ltf_slow_ema,entry_mode,atr_period,atr_sl_mult,atr_tp_mult,use_trailing,trail_atr_mult,max_bars_in_trade,extend_hold_in_momentum,use_compression_filter,compress_atr_ratio,compress_lookback,cooldown_bars,max_spread_pips,lot_size,initial_balance
179,3389.245804278609,2077.210000000001,268,3.87977429953834,50,True,20,0.63,False,6,13,14,15,2,8,21,1,14,1.83,4.71,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
421,3376.7826359144415,1726.4199999999928,341,2.2592597995594392,50,True,24,0.58,True,6,13,14,15,3,8,21,1,14,2.15,4.16,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
809,3368.775547471057,1953.25,289,3.2829809366854845,50,True,24,0.58,False,6,12,14,15,3,8,21,1,14,1.61,5.29,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
418,3353.9523080402714,1634.1600000000071,353,2.1543286618444846,50,True,20,0.6,True,6,13,15,15,2,8,21,1,14,1.9,4.42,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
546,3349.6341269435775,1782.699999999999,319,2.627278619090652,50,True,16,0.52,True,6,12,15,15,2,8,21,1,14,1.96,4.15,True,1.2,96,True,True,0.7,48,8,8.0,0.1,10000.0
617,3332.215290315327,1639.8799999999828,348,2.207169936324487,50,True,24,0.58,True,6,12,15,15,3,8,21,1,14,1.66,4.92,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
124,3323.7464324237662,2123.620000000008,245,5.24113276881291,50,True,16,0.61,False,6,12,15,15,3,8,21,1,14,1.63,4.34,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
31,3314.742488955815,2117.1400000000103,244,4.263967686235817,50,True,16,0.66,False,6,13,15,15,2,8,21,1,14,2.0,4.3,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
422,3304.737377505524,1780.2800000000043,313,2.6126162848628134,50,True,24,0.53,True,6,12,15,15,3,8,21,1,14,1.99,4.63,True,1.2,80,True,True,0.7,48,6,8.0,0.1,10000.0
183,3293.9981116119666,2081.17,248,5.221354536419139,50,True,16,0.55,False,6,13,14,15,3,8,21,1,14,1.83,5.17,True,1.2,96,True,True,0.7,48,8,8.0,0.1,10000.0
715,3287.560124750306,1756.1500000000015,312,2.5885284752876476,50,True,16,0.53,True,6,12,15,15,2,8,21,1,14,2.14,5.03,True,1.2,80,True,True,0.7,48,8,8.0,0.1,10000.0
576,3285.351334716374,1809.5499999999774,302,2.928849331130416,50,True,16,0.56,False,6,12,16,16,2,8,21,1,14,1.95,4.79,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
707,3285.0961856305757,1751.5099999999857,313,2.787364532522399,50,True,16,0.55,False,6,13,16,15,2,8,21,1,14,1.78,4.26,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
379,3282.437441191723,1436.0799999999854,380,1.9045945299016087,50,True,16,0.53,True,6,12,14,16,2,8,21,1,14,2.06,4.55,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
238,3270.7312529465894,1602.840000000011,342,2.0916595153446935,50,True,16,0.65,True,6,12,14,15,2,8,21,1,14,1.82,5.34,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
405,3266.1345950211585,1993.2500000000036,260,4.169271620053106,50,True,24,0.53,False,6,12,15,15,2,8,21,1,14,1.61,5.14,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
587,3262.9268838308226,2061.2400000000107,246,4.1135615238210335,50,True,16,0.66,False,6,13,14,15,3,8,21,1,14,1.84,3.86,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
239,3256.111517563151,1746.150000000005,308,2.996855166104408,100,True,16,0.56,False,6,13,15,15,3,8,21,1,14,1.9,5.3,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
159,3255.998005798014,1349.2599999999857,396,1.8904948586966566,100,True,16,0.52,True,6,12,14,15,2,8,21,1,14,1.66,4.16,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
790,3245.80520830232,1622.2599999999966,334,2.1861400327562004,50,True,20,0.63,True,6,13,14,15,2,8,21,1,14,1.96,5.19,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
272,3228.303831108044,1838.639999999994,285,3.06984126984127,50,True,16,0.58,False,6,12,16,15,3,8,21,1,14,2.15,5.33,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
337,3222.264168462236,1423.019999999975,371,1.940777469258231,50,True,16,0.56,True,6,12,15,16,3,8,21,1,14,1.97,4.11,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
771,3209.7181489584996,1564.539999999999,338,2.128067949124679,50,True,20,0.64,True,6,12,14,15,3,8,21,1,14,1.87,4.79,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
230,3200.4416970667125,1635.9300000000076,321,2.2978215339701076,50,True,16,0.6,True,6,12,15,15,2,8,21,1,14,2.16,3.76,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
494,3185.4531495936194,1818.1000000000022,279,3.434422827149418,100,True,16,0.5,False,6,12,14,15,2,8,21,1,14,2.02,4.69,True,1.2,96,True,True,0.7,48,6,8.0,0.1,10000.0
57,3183.8388427120235,2039.2299999999996,234,5.4927845953865475,50,True,16,0.56,False,6,12,15,15,2,8,21,1,14,1.63,3.61,True,1.2,96,True,True,0.7,48,8,8.0,0.1,10000.0
8,3165.8971955350935,1705.179999999993,298,2.786988325543376,50,True,20,0.53,False,6,13,16,16,3,8,21,1,14,2.2,3.78,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
467,3138.097607620728,1425.5899999999892,352,1.966822876752277,50,True,16,0.58,True,6,13,16,15,3,8,21,1,14,2.16,4.65,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
